coord_x,coord_y
40.474652,-3.674444
40.460026,-3.665174
40.441215,-3.659338
40.431547,-3.661054
40.418740,-3.659338
40.399134,-3.668951
40.393669,-3.673211
40.389393,-3.682193
40.388616,-3.688368
40.390287,-3.694135
40.392170,-3.697142
40.397116,-3.711769
40.399427,-3.715046
40.399704,-3.720205
40.400743,-3.722035
40.405718,-3.722341
40.409176,-3.721372
40.416015,-3.722290
40.420794,-3.722290
40.422271,-3.725556
40.423902,-3.729537
40.426777,-3.734130
40.430274,-3.736988
40.434741,-3.738366
40.437926,-3.737856
40.445345,-3.739897
40.452685,-3.743623
40.455481,-3.743623
40.460471,-3.745613
40.470685,-3.750570
40.473885,-3.749411
40.474462,-3.743185
40.472815,-3.734488
40.472898,-3.727703
40.475547,-3.721496
40.478923,-3.716119
40.480296,-3.712493
40.482006,-3.704916
40.485369,-3.694595
